name,lat,lng,address,website,phone,hours,category
Los Angeles Regional Food Bank,34.014874,-118.229401,"1734 E 41st St, Los Angeles, CA 90058",https://www.lafoodbank.org,(323) 234-3030,"Mon–Fri 8–4",Regional Food Bank
Westside Food Bank,34.028897,-118.468873,"1710 22nd St, Santa Monica, CA 90404",https://www.westsidefoodbank.org,(310) 828-6016,"Mon–Fri 8–5",Food Bank
St. Francis Center,34.041716,-118.261617,"1835 S Hope St, Los Angeles, CA 90015",https://www.stfranciscenterla.org,(213) 747-5347,"Mon–Fri 7–3",Pantry
Los Angeles Mission,34.044189,-118.248903,"303 E 5th St, Los Angeles, CA 90013",https://www.losangelesmission.org,(213) 629-1227,"Daily 6–6",Mission
Union Rescue Mission,34.043525,-118.249905,"545 S San Pedro St, Los Angeles, CA 90013",https://urm.org,(213) 347-6300,"Daily 24 hrs",Mission
St. Vincent Meals on Wheels,34.065336,-118.281152,"2303 Miramar St, Los Angeles, CA 90057",https://www.stvincentmow.org,(213) 484-7112,"Mon–Fri 8–4",Meal Service
HopeNet Food Pantry,34.076721,-118.308071,"760 S Westmoreland Ave, Los Angeles, CA 90005",https://hopenetla.org,(213) 389-9949,"Tue–Sat 10–3",Pantry
LA LGBT Center Pantry,34.090646,-118.327847,"1118 N McCadden Pl, Los Angeles, CA 90038",https://lalgbtcenter.org,(323) 993-7400,"Wed–Fri 10–4",Pantry
SOVA Community Food and Resource Program,34.172304,-118.375115,"16439 Vanowen St, Van Nuys, CA 91406",https://www.jfsla.org/program/sova,(818) 988-7682,"Mon–Thu 9–3",Food Pantry
World Harvest Food Bank,34.036719,-118.341074,"3100 Venice Blvd, Los Angeles, CA 90019",https://worldharvestla.org,(213) 746-2227,"Mon–Sat 8–5",Food Bank
South Central Community Food Bank,34.0,-118.25,"2310 Avalon Blvd, Los Angeles, CA 90011",https://www.lafoodbank.org/partner/south-central,(323) 555-0101,Mon–Fri 9–4,Food Pantry
Watts Family Resource Pantry,33.94,-118.24,"1701 E 103rd St, Los Angeles, CA 90002",https://www.lafoodbank.org/partner/watts,(323) 555-0102,Tue–Sat 10–2,Community Pantry
East LA Nutrition Hub,34.04,-118.18,"3800 Cesar E Chavez Ave, Los Angeles, CA 90063",https://www.lafoodbank.org/partner/east-la,(323) 555-0103,Mon–Thu 9–5,Distribution Center
Koreatown Senior Meal Center,34.06,-118.31,"857 Irolo St, Los Angeles, CA 90005",https://www.lafoodbank.org/partner/koreatown,(213) 555-0104,Mon–Fri 8–3,Meal Service
Hollywood Food Coalition Pantry,34.1,-118.32,"5939 Hollywood Blvd, Los Angeles, CA 90028",https://www.lafoodbank.org/partner/hollywood,(323) 555-0105,Mon–Fri 9–5,Food Pantry
Westlake Community Food Shelf,34.05,-118.26,"1501 W 8th St, Los Angeles, CA 90017",https://www.lafoodbank.org/partner/westlake,(213) 555-0106,Tue–Fri 10–4,Community Pantry
Echo Park Neighborhood Pantry,34.07,-118.26,"1414 W 2nd St, Los Angeles, CA 90026",https://www.lafoodbank.org/partner/echo-park,(213) 555-0107,Wed–Sat 9–1,Food Pantry
Boyle Heights Community Cupboard,34.04,-118.21,"2028 E 1st St, Los Angeles, CA 90033",https://www.lafoodbank.org/partner/boyle-heights,(323) 555-0108,Mon–Fri 9–4,Food Pantry
